Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.8695455,692.2105926,662.6093215,666.9025219,676.9904596,691.6011798,691.0508942,689.9114032,677.906239,668.6339466,635.5502178,621.510018,604.9365011,628.094857,641.9410118,626.0867641,630.0495178,639.8933438,658.3978574,659.1211473,627.1562396,635.0468101,610.8042366,613.0494301,620.9486524,608.7628245,607.2978092,597.7863854,585.0441454,587.6480365,566.9607232,579.8166931,562.0606994,,,
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.7754822,304.4273074,310.2371002,307.1315479,286.0643962,282.9832997,292.2722383,299.03099,294.2670607,298.1532158,285.6573223,289.2371824,292.1773205,296.9800669,302.2958868,312.3347019,302.907262,300.3024683,306.7965744,295.4232855,336.4129791,359.0643928,353.413958,356.9136613,354.7598513,336.9786679,343.8963375,332.429748,325.4677663,341.6661325,336.5664069,350.10251,351.9130616,,,
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0989068,501.1013959,487.6652633,489.171805,480.0419345,460.7446875,455.9300607,448.2502878,429.9641143,434.3768318,428.2226693,428.5994809,429.4242074,446.1341321,433.5570801,392.5578024,422.9094587,446.7900057,472.064397,504.9241668,487.2810743,486.2353657,531.2433226,512.0218026,447.1603254,517.5252094,462.934994,456.6922175,405.1797531,416.9965072,397.6331866,418.358996,423.1225176,,,
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.3738013,572.7552077,418.2732089,412.3518244,441.3480096,417.0346111,447.8389305,384.5849541,426.8189067,576.9742691,581.374749,598.2283171,661.1179516,649.3578811,716.6231459,721.0774074,707.8906065,680.9481662,712.287869,734.0578099,731.0533975,766.8946175,699.4448977,826.0183849,844.59008,803.9874481,840.6193636,894.4663996,904.7397747,908.3172527,855.1855942,914.7329255,884.5722153,888.4638557,,
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.395258,1109.072523,1192.639087,1235.385023,1273.87227,1271.615386,1286.562026,1307.398825,1302.760253,1284.816965,1309.745456,1388.577224,1427.303567,1413.091414,1434.789959,1502.780989,1543.333885,1573.215074,1648.782097,1689.546637,1751.686993,1756.145849,1794.398011,1773.108931,1834.763536,1838.08041,1837.889245,1845.538332,1813.736914,1794.801054,1677.419114,1736.005257,1780.222858,,,
United Arab Emirates,ARE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10740.84292,11690.09702,10562.89944,10572.66983,11178.39848,11360.90147,11250.16912,10941.74652,10375.28599,9839.144035,8956.949299,11703.2751,10866.25188,10102.21686,9441.127157,9535.234232,9239.480124,8929.912913,9426.222525,9485.646966,8944.433481,8558.245294,8614.168814,8858.222426,9633.422121,10146.37679,10355.54761,8521.136772,8482.303172,8816.509436,8154.352941,8674.226414,8335.809572,,,
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351.482776,1385.38307,1407.276754,1432.607503,1530.527608,1507.198475,1534.091776,1567.394448,1648.112636,1666.818622,1643.32132,1518.567373,1484.257019,1590.617211,1740.908903,1712.432035,1784.016698,1845.914228,1889.409238,1722.744029,1826.051124,1865.257361,1897.609839,1928.549229,1911.617277,1919.758592,1889.870189,1874.829637,1806.776235,1777.415077,1623.924508,1741.513772,1808.760213,1832.0669,,
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170.259047,2248.450364,1156.528545,634.9384016,409.7622515,497.3072227,543.2489632,573.5984981,591.1143768,578.924653,625.5032273,624.5554713,586.4406484,622.5828814,661.9296799,798.5441805,818.2749974,918.1816125,973.2171452,851.3383877,815.627987,896.9480238,982.4424153,959.8016823,1045.975114,1084.520629,1043.097972,1105.96697,1072.336825,1163.092847,1233.304559,1271.528056,1347.590557,,,
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.048996,,,,,,,,,,,,,,1714.96081,1720.867719,1774.105503,1786.938216,,,,,,,,,,,,,,,,,,
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5047.638803,4925.057356,4960.574435,5171.292761,5127.433887,5138.24234,5429.944199,5497.646392,5584.827875,5644.579878,5681.228859,5486.394559,5480.234643,5615.576756,5652.130379,5624.495613,5775.116752,5853.764132,5951.192915,5843.933129,5762.943566,5698.655973,5533.722338,5533.381464,5407.438226,5318.666793,5216.988672,5162.458943,5086.373785,5231.57466,5159.036384,5006.443065,4942.163722,4927.648948,,
Austria,AUT,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240.45367,3415.50429,3245.896382,3256.116781,3234.793928,3374.076116,3580.793201,3550.913985,3607.006791,3592.171968,3570.948532,3758.793163,3771.719492,3956.938946,3974.506368,4084.352619,4105.07525,4010.095149,4027.905566,3819.499869,4065.041896,3927.582565,3899.164842,3924.821354,3750.344801,3795.510374,3797.168022,3839.948052,3717.625321,3765.980119,3546.504499,3728.133989,3486.729433,3308.71167,,
Azerbaijan,AZE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3158.922728,3088.31328,2464.933138,2175.617533,1948.059775,1809.449159,1513.854705,1444.490131,1485.308771,1369.282409,1403.598747,1411.214349,1414.776025,1476.841024,1539.500039,1600.227803,1559.849176,1459.388982,1587.24837,1391.330992,1305.912093,1396.044781,1497.294867,1497.902575,1526.158779,1510.918569,1480.934283,1478.784184,1471.370276,1587.784776,1536.830563,1623.829324,1714.03726,1732.197395,,
Burundi,BDI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
