Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0015,0.0015,0.0015,0.0015,
Africa Eastern and Southern,AFE,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,153.1602,154.5334,156.4088,159.881,162.7607,164.909,165.855,169.2619,173.3221,177.5849,176.5222,178.3055,183.0142,185.1942,184.5355,186.4209,187.6613,185.0186,188.4649,193.6519,197.1162,194.4353,198.6041,194.8015,197.8131,201.768,204.7715,211.0454,218.3153,226.6961,225.4439,230.9146,237.7537,241.8234,246.5209,256.9591,257.9416,281.2207,295.5733,298.5202,307.6379,305.5115,314.0515,315.5128,319.0352,322.2644,329.9698,327.6403,334.9267,349.5968,365.3138,355.8237,362.2581,373.2821,380.5494,
Afghanistan,AFG,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,10.3941,10.3275,8.9145,9.3736,9.9601,10.6311,10.8469,10.5307,10.5438,10.3714,10.2696,10.2158,10.1138,9.5091,8.3272,7.4371,6.2608,6.7237,7.1275,6.997,7.1247,7.2039,7.3095,7.3988,7.662,7.9437,9.0029,9.8328,10.4247,11.0555,9.5435,8.012,10.1641,10.5081,10.6837,10.2225,10.2411,10.5647,11.6608,12.0455,13.6515,13.5864,13.1225,12.8916,13.2465,12.4692,11.9603,11.5819,11.8867,12.053,12.3271,12.3193,12.3824,12.3887,12.4833,
Africa Western and Central,AFW,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,55.91,57.2542,56.7222,53.9127,52.8386,55.1505,57.2294,60.1197,62.715,65.2829,68.4758,70.8163,72.5816,72.032,67.9294,68.7032,69.7591,71.5311,74.12,77.656,77.5641,85.4768,87.003,89.3206,91.4755,94.3782,97.456,101.1202,104.0421,108.4595,112.036,114.9753,118.4938,124.4414,128.6214,133.5712,137.893,140.1202,144.7132,148.4001,155.6084,163.8237,172.1154,178.8236,185.4401,194.605,201.8382,208.1463,215.9697,223.213,227.3173,238.4981,245.1275,251.4595,257.1726,
Angola,AGO,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,2.9997,3.2112,3.2726,3.3055,3.331,3.3593,3.1716,3.2416,3.3703,3.4976,3.6252,3.6773,3.7339,3.7902,3.8462,3.9029,3.9614,3.8567,3.7517,3.6458,3.629,3.7632,3.9076,3.8629,3.812,3.8831,4.2637,4.5641,4.9857,4.9962,5.1767,5.1887,5.1233,5.0531,4.9469,5.3786,5.4981,5.6415,5.7552,5.9338,6.0847,6.2484,6.327,6.5573,6.6956,6.8523,6.9685,6.8481,6.8036,7.0802,7.1146,7.1939,7.2824,7.1879,7.2478,
Albania,ALB,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,1.3019,1.2559,1.2305,1.2711,1.306,1.329,1.4111,1.4639,1.5546,1.6191,1.6716,1.7048,1.7213,1.7539,1.7513,1.6826,1.776,1.9424,2.0574,2.1259,2.054,2.0495,2.0274,2.1627,2.7033,2.7875,2.6001,2.4143,2.2883,2.359,2.3928,2.3545,2.3091,2.341,2.2458,2.2002,2.1779,2.0644,1.9492,1.8525,1.8668,1.8729,1.9231,1.9663,2.0053,2.0165,2.0009,1.9533,1.9102,1.7559,1.5737,1.4787,1.35,1.2102,1.0701,
Andorra,AND,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,72.8776,73.6713,73.5336,74.1899,74.4341,77.3942,77.6558,78.6859,81.5617,83.5744,86.0281,88.3175,90.0538,90.0447,90.2857,91.3485,90.3882,92.4607,93.2364,95.4036,96.384,94.6392,98.3436,102.5347,106.5161,107.7787,111.0626,115.7123,118.1536,123.0424,126.6341,129.0765,132.2964,136.3305,138.964,142.1989,143.8947,145.7545,145.9754,145.0165,145.3451,146.8504,150.8797,151.3416,152.4889,151.1082,151.5738,150.0319,149.9193,147.3368,150.9044,150.8132,152.9488,152.6768,153.6286,
United Arab Emirates,ARE,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,0.2094,0.2167,0.2157,0.2362,0.2173,0.1798,0.1158,0.1423,0.1686,0.1687,0.1863,0.1941,0.2068,0.2232,0.2392,0.2558,0.2784,0.2974,0.3166,0.332,0.3551,0.3799,0.4064,0.4346,0.4661,0.4985,0.5347,0.5712,0.6059,0.6478,0.6908,0.7313,0.7717,0.8121,0.8121,0.9311,0.9783,1.0276,1.0829,1.2727,1.1178,1.1161,1.1208,1.2449,1.3399,1.3961,1.4123,1.4441,1.449,1.4745,1.4904,1.5133,1.6039,1.6011,1.6314,
Argentina,ARG,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,,,,,,,,,,,92.9824,94.9683,99.0599,103.104,103.0716,105.2303,108,112.6429,107.033,105.5683,103.5843,101.1412,98.5146,100.2052,101.2984,100.184,98.734,97.2626,100.3987,102.4139,103.909,102.0975,102.8105,100.5375,100.7665,99.4039,96.7555,96.2365,93.449,96.3726,95.5734,95.6984,100.8519,107.8627,109.997,110.7595,113.2453,114.3336,112.5107,106.4416,97.6415,96.1654,99.1014,101.3174,102.15,101.5162,103.0171,106.9121,106.3249,107.1145,106.0454,103.9611,105.2629,104.5161,105.3821,
